dual,BQS,greedy,pd,GLP,queriesG,queriesPD,queriesBQS,queriesGLP,timeG,timePD,timeBQS,timeGLP,k,n,trial
203451234.31094807,197681996.78958115,194087869.33396578,179497089.92564338,205649625.70087186,20620,22071,25992,31666,0.907053,0.994068,2.241247,2.559035,20,525,1
203451234.31094807,197681996.78958115,194087869.33396578,179497089.92564338,205649625.70087186,20620,22071,25992,31666,0.873623,0.940413,2.11669,2.4842180000000003,20,525,2
203451234.31094807,197681996.78958115,194087869.33396578,179497089.92564338,205649625.70087186,20620,22071,25992,31666,0.777557,0.91631,1.9622650000000001,2.262277,20,525,3
203451234.31094807,197681996.78958115,194087869.33396578,179497089.92564338,205649625.70087186,20620,22071,25992,31666,0.828853,0.953093,2.013004,2.334619,20,525,4
203451234.31094807,197681996.78958115,194087869.33396578,179497089.92564338,205649625.70087186,20620,22071,25992,31666,0.819084,0.908836,1.988524,2.333622,20,525,5
371371249.0026967,361127962.47600013,349836428.2124299,321566679.3085613,388565683.75183725,40440,43091,51572,62006,2.492707,2.551044,4.036556,13.465005,40,525,1
371371249.0026967,361127962.47600013,349836428.2124299,321566679.3085613,388565683.75183725,40440,43091,51572,62006,2.277146,2.538544,3.889612,13.114027,40,525,2
371371249.0026967,361127962.47600013,349836428.2124299,321566679.3085613,388565683.75183725,40440,43091,51572,62006,2.352965,2.61929,3.9073910000000005,13.313136,40,525,3
371371249.0026967,361127962.47600013,349836428.2124299,321566679.3085613,388565683.75183725,40440,43091,51572,62006,2.401289,2.546671,3.9545509999999995,13.564595,40,525,4
371371249.0026967,361127962.47600013,349836428.2124299,321566679.3085613,388565683.75183725,40440,43091,51572,62006,2.603769,2.875942,4.343655,14.145479,40,525,5
541732127.4487823,512299174.6547104,494286953.05637425,465376300.52720886,565008833.8776861,59460,64111,76792,91546,4.97842,5.323976,7.130203,18.890674,60,525,1
541732127.4487823,512299174.6547104,494286953.05637425,465376300.52720886,565008833.8776861,59460,64111,76792,91546,4.54587,4.947472,6.594503,18.628398,60,525,2
541732127.4487823,512299174.6547104,494286953.05637425,465376300.52720886,565008833.8776861,59460,64111,76792,91546,4.632578,4.88506,6.761941,18.854828,60,525,3
541732127.4487823,512299174.6547104,494286953.05637425,465376300.52720886,565008833.8776861,59460,64111,76792,91546,4.546948,4.765477,6.638540000000001,18.611325,60,525,4
541732127.4487823,512299174.6547104,494286953.05637425,465376300.52720886,565008833.8776861,59460,64111,76792,91546,4.408393,5.018612,6.535030000000001,18.758324,60,525,5
694720283.143784,655226328.6547104,631464469.0563743,600899693.5272088,730097728.4666119,77680,85131,101224,120286,7.161887,8.075906,9.860114,24.78548,80,525,1
694720283.143784,655226328.6547104,631464469.0563743,600899693.5272088,730097728.4666119,77680,85131,101224,120286,7.452456,8.030081,10.147607,25.317451,80,525,2
694720283.143784,655226328.6547104,631464469.0563743,600899693.5272088,730097728.4666119,77680,85131,101224,120286,7.096378,8.153684,9.717973,24.433042999999998,80,525,3
694720283.143784,655226328.6547104,631464469.0563743,600899693.5272088,730097728.4666119,77680,85131,101224,120286,7.061112,7.811167,9.632016,24.454085999999997,80,525,4
694720283.143784,655226328.6547104,631464469.0563743,600899693.5272088,730097728.4666119,77680,85131,101224,120286,6.896068,8.095134,9.441984,23.851654,80,525,5
836067634.3117708,791777435.6547104,763606337.5272088,722559823.5272088,882158912.9344187,95100,106151,124760,148226,9.914173,11.167991,13.15798,29.243423999999997,100,525,1
836067634.3117708,791777435.6547104,763606337.5272088,722559823.5272088,882158912.9344187,95100,106151,124760,148226,10.543969,11.709036,13.7974,29.255639000000002,100,525,2
836067634.3117708,791777435.6547104,763606337.5272088,722559823.5272088,882158912.9344187,95100,106151,124760,148226,10.346221,11.445054,13.591156999999999,28.842392,100,525,3
836067634.3117708,791777435.6547104,763606337.5272088,722559823.5272088,882158912.9344187,95100,106151,124760,148226,10.169693,11.277619,13.349586,28.79533,100,525,4
836067634.3117708,791777435.6547104,763606337.5272088,722559823.5272088,882158912.9344187,95100,106151,124760,148226,10.407663,11.581044,13.632086999999999,28.86984,100,525,5
986067405.6735402,924211732.6402636,891031609.9714241,850489497.3208362,1026331032.9625173,111720,127171,147804,175366,13.629871,16.060589,18.044816,48.937381,120,525,1
986067405.6735402,924211732.6402636,891031609.9714241,850489497.3208362,1026331032.9625173,111720,127171,147804,175366,13.585957,15.868754,17.83595,45.454285,120,525,2
986067405.6735402,924211732.6402636,891031609.9714241,850489497.3208362,1026331032.9625173,111720,127171,147804,175366,12.743961,15.579712,16.364537,44.993711,120,525,3
986067405.6735402,924211732.6402636,891031609.9714241,850489497.3208362,1026331032.9625173,111720,127171,147804,175366,12.911599,16.419715,17.029674,48.259676000000006,120,525,4
986067405.6735402,924211732.6402636,891031609.9714241,850489497.3208362,1026331032.9625173,111720,127171,147804,175366,14.289358,15.904231,18.000509,47.471224,120,525,5
1114729970.2108,1052477466.0844787,1012017812.9501921,962889044.011006,1160069906.5104685,127540,148191,170368,201706,16.315819,21.321228,21.334354,88.83575400000001,140,525,1
1114729970.2108,1052477466.0844787,1012017812.9501921,962889044.011006,1160069906.5104685,127540,148191,170368,201706,17.677409,20.846942,22.479222,89.49964299999999,140,525,2
1114729970.2108,1052477466.0844787,1012017812.9501921,962889044.011006,1160069906.5104685,127540,148191,170368,201706,17.818762,20.943996,22.64747,89.60922099999999,140,525,3
1114729970.2108,1052477466.0844787,1012017812.9501921,962889044.011006,1160069906.5104685,127540,148191,170368,201706,17.403976,20.774519,22.13072,89.571932,140,525,4
1114729970.2108,1052477466.0844787,1012017812.9501921,962889044.011006,1160069906.5104685,127540,148191,170368,201706,17.564156,20.90617,22.459115,88.881132,140,525,5
1258153132.864658,1175126902.838671,1126553267.7960825,1062692449.0710244,1289622223.7685454,142560,169211,192312,227246,21.390647,26.770021,27.587087,82.650519,160,525,1
1258153132.864658,1175126902.838671,1126553267.7960825,1062692449.0710244,1289622223.7685454,142560,169211,192312,227246,22.04758,26.370655,27.835157,83.483181,160,525,2
1258153132.864658,1175126902.838671,1126553267.7960825,1062692449.0710244,1289622223.7685454,142560,169211,192312,227246,21.782709,27.74361,28.081598,82.832868,160,525,3
1258153132.864658,1175126902.838671,1126553267.7960825,1062692449.0710244,1289622223.7685454,142560,169211,192312,227246,21.173265,25.957806,27.40782,85.435556,160,525,4
1258153132.864658,1175126902.838671,1126553267.7960825,1062692449.0710244,1289622223.7685454,142560,169211,192312,227246,22.059723,28.371016,28.269421,87.518258,160,525,5
