dual,BQS,greedy,pd,GLP,queriesG,queriesPD,queriesBQS,queriesGLP,timeG,timePD,timeBQS,timeGLP,k,n,trial
122.63636363636364,122.0,119,119,125.0000000020526,9910,11011,11274,15421,0.117072,0.158905,0.27441,0.360986,10,500,1
122.63636363636364,122.0,119,119,125.0000000020526,9910,11011,11274,15421,0.117308,0.159161,0.274246,0.36187,10,500,2
122.63636363636364,122.0,119,119,125.0000000020526,9910,11011,11274,15421,0.118103,0.162326,0.276083,0.361408,10,500,3
122.63636363636364,122.0,119,119,125.0000000020526,9910,11011,11274,15421,0.121665,0.160035,0.285718,0.36945300000000003,10,500,4
122.63636363636364,122.0,119,119,125.0000000020526,9910,11011,11274,15421,0.123239,0.163265,0.28156,0.370282,10,500,5
175.77125193199382,177.0,165,164,185.00000004360155,14790,16016,17902,22806,0.185423,0.251683,0.463488,0.5348120000000001,15,500,1
175.77125193199382,177.0,165,164,185.00000004360155,14790,16016,17902,22806,0.191013,0.253056,0.453387,0.522042,15,500,2
175.77125193199382,177.0,165,164,185.00000004360155,14790,16016,17902,22806,0.194107,0.252423,0.45715300000000003,0.52306,15,500,3
175.77125193199382,177.0,165,164,185.00000004360155,14790,16016,17902,22806,0.187711,0.250231,0.45128100000000004,0.517153,15,500,4
175.77125193199382,177.0,165,164,185.00000004360155,14790,16016,17902,22806,0.18461,0.257059,0.4495,0.5308269999999999,15,500,5
225.01731601731603,228.0,206,197,245.00000000400362,19620,21021,25308,30141,0.274318,0.351353,0.6620900000000001,0.6943619999999999,20,500,1
225.01731601731603,228.0,206,197,245.00000000400362,19620,21021,25308,30141,0.25711,0.34668,0.638458,0.6695690000000001,20,500,2
225.01731601731603,228.0,206,197,245.00000000400362,19620,21021,25308,30141,0.263718,0.349967,0.652218,0.677813,20,500,3
225.01731601731603,228.0,206,197,245.00000000400362,19620,21021,25308,30141,0.265709,0.356075,0.650503,0.686086,20,500,4
225.01731601731603,228.0,206,197,245.00000000400362,19620,21021,25308,30141,0.260488,0.354562,0.653744,0.684465,20,500,5
270.1567937967722,277.0,241,232,293.8000004136464,24400,26026,31860,37426,0.351105,0.467123,0.781655,0.895642,25,500,1
270.1567937967722,277.0,241,232,293.8000004136464,24400,26026,31860,37426,0.347258,0.47253,0.781714,0.8879319999999999,25,500,2
270.1567937967722,277.0,241,232,293.8000004136464,24400,26026,31860,37426,0.344235,0.465841,0.761754,0.8775139999999999,25,500,3
270.1567937967722,277.0,241,232,293.8000004136464,24400,26026,31860,37426,0.33387,0.458994,0.7510399999999999,0.861695,25,500,4
270.1567937967722,277.0,241,232,293.8000004136464,24400,26026,31860,37426,0.338855,0.464514,0.761163,0.883126,25,500,5
312.8710933712884,322.0,271,254,344.0000000193778,29130,31031,38526,44661,0.418599,0.569144,0.877729,1.046842,30,500,1
312.8710933712884,322.0,271,254,344.0000000193778,29130,31031,38526,44661,0.421976,0.568617,0.883409,1.0635780000000001,30,500,2
312.8710933712884,322.0,271,254,344.0000000193778,29130,31031,38526,44661,0.425839,0.57343,0.882642,1.071866,30,500,3
312.8710933712884,322.0,271,254,344.0000000193778,29130,31031,38526,44661,0.422656,0.57439,0.876592,1.061288,30,500,4
312.8710933712884,322.0,271,254,344.0000000193778,29130,31031,38526,44661,0.419402,0.574127,0.886244,1.0481,30,500,5
367.98025996015417,362.0,299,282,393.91666668988694,33810,36036,45442,51846,0.493996,0.685321,1.00055,1.215209,35,500,1
367.98025996015417,362.0,299,282,393.91666668988694,33810,36036,45442,51846,0.505472,0.693118,1.02837,1.2266270000000001,35,500,2
367.98025996015417,362.0,299,282,393.91666668988694,33810,36036,45442,51846,0.506472,0.675908,1.01646,1.206998,35,500,3
367.98025996015417,362.0,299,282,393.91666668988694,33810,36036,45442,51846,0.501828,0.685843,1.000056,1.198655,35,500,4
367.98025996015417,362.0,299,282,393.91666668988694,33810,36036,45442,51846,0.501702,0.675864,0.99781,1.184644,35,500,5
404.59775169256653,402.0,324,308,438.66666666750524,38440,41041,52740,58981,0.58242,0.810841,1.138759,1.41436,40,500,1
404.59775169256653,402.0,324,308,438.66666666750524,38440,41041,52740,58981,0.590271,0.809047,1.1577,1.430518,40,500,2
404.59775169256653,402.0,324,308,438.66666666750524,38440,41041,52740,58981,0.602213,0.810376,1.154839,1.438286,40,500,3
404.59775169256653,402.0,324,308,438.66666666750524,38440,41041,52740,58981,0.597827,0.823491,1.163112,1.439004,40,500,4
404.59775169256653,402.0,324,308,438.66666666750524,38440,41041,52740,58981,0.589989,0.800471,1.141956,1.416337,40,500,5
