f_of_S,Queries,Time,dual,k,n,trial,dual_history
21383.0,21021,0.5737,22058.98478620465,20,500,1,"[32700.0, 29855.0, 28451.727143869597, 28326.335902278657, 24269.914386077995, 23459.76701572022, 23325.86913011725, 23325.86913011725, 23158.625150805092, 22838.617403438584, 22610.743700941402, 22463.19348885253, 22401.35139826346, 22354.350227841518, 22224.573762029628, 22212.923927404834, 22126.192807086045, 22114.77087978975, 22092.392495987395, 22076.27742027035, 22058.98478620465]"
36387.0,41041,1.18593,37727.884987338824,40,500,1,"[65400.0, 58075.0, 55191.7271438696, 54926.33590227865, 46069.914386077995, 44239.767015720216, 43925.86913011725, 43925.86913011725, 43498.62515080509, 42638.617403438584, 41990.7437009414, 41543.19348885253, 41341.35139826346, 41174.35022784152, 40664.57376202963, 40612.92392740484, 40166.192807086045, 40094.77087978975, 39912.3924959874, 39716.27742027035, 39258.98478620465, 39120.48258445648, 38895.07837459308, 38575.014865981095, 38507.90908291436, 38476.35863338343, 38358.16662718139, 38276.69096178696, 38169.475208682925, 38120.441371154964, 38019.12661471957, 37906.2974679652, 37785.95393089186, 37777.69805499358, 37777.69805499358, 37763.673811996785, 37759.28049379077, 37744.8801735237, 37733.47985325662, 37727.884987338824, 37727.884987338824]"
49701.0,61061,1.919733,52261.837087253465,60,500,1,"[98100.0, 86295.0, 81931.72714386959, 81526.33590227866, 67869.914386078, 65019.767015720216, 64525.86913011725, 64525.86913011725, 63838.62515080509, 62438.617403438584, 61370.7437009414, 60623.19348885253, 60281.35139826346, 59994.35022784152, 59104.57376202963, 59012.92392740484, 58206.192807086045, 58074.77087978975, 57732.3924959874, 57356.27742027035, 56458.98478620465, 56180.48258445648, 55715.07837459308, 55035.014865981095, 54887.90908291436, 54816.35863338343, 54538.16662718139, 54283.219837085664, 54264.15571505385, 54239.82394048228, 54233.023771561464, 54233.023771561464, 53837.391723532535, 53807.959808329986, 53807.959808329986, 53725.671988746115, 53646.38814794208, 53570.104307138055, 53521.25643465907, 53521.25643465907, 53386.72086011758, 53322.46118095494, 53159.10203652124, 53081.42795127284, 52952.51761243297, 52934.339389317516, 52918.139552440945, 52790.60726693881, 52432.01041043241, 52390.18580336911, 52390.18580336911, 52384.010249644925, 52378.50828923648, 52359.546729941016, 52357.80148374491, 52322.339528088596, 52306.60855026044, 52306.60855026044, 52289.0120835182, 52269.56208600838, 52261.837087253465]"
61865.0,81081,2.663238,65543.10599453717,80,500,1,"[130800.0, 114515.0, 108671.72714386959, 108126.33590227866, 89669.914386078, 85799.76701572022, 85125.86913011725, 85125.86913011725, 84178.62515080509, 82238.61740343859, 80750.7437009414, 79703.19348885253, 79221.35139826346, 78814.35022784151, 77544.57376202963, 77412.92392740483, 76246.19280708604, 76054.77087978975, 75552.3924959874, 74996.27742027034, 73658.98478620464, 73240.48258445648, 72535.07837459308, 71495.0148659811, 71267.90908291435, 71156.35863338344, 70718.16662718139, 70183.21983708566, 70084.15571505386, 69879.82394048228, 69653.02377156146, 69412.52292257712, 69396.18525043303, 69396.18525043303, 69360.16651971503, 69330.67516651865, 69307.73323192692, 69296.84916605052, 69296.84916605052, 69290.62174718236, 69290.62174718236, 69161.88679415325, 68826.5935860756, 68662.95246900522, 68383.5998244769, 68305.7847831831, 68002.52461800785, 67116.74412248218, 67015.58952981641, 67009.11285845759, 67009.11285845759, 66975.71034324693, 66910.90531282562, 66785.29525198299, 66724.49022156167, 66724.49022156167, 66639.2826759297, 66529.6905523068, 66476.89449049535, 66426.10144527516, 66377.30840005496, 66249.7963354736, 66189.48011432239, 66124.65562219133, 66018.2385263411, 66018.2385263411, 65979.67168800099, 65943.1048496609, 65943.1048496609, 65897.19295350475, 65862.14017190739, 65847.06424103687, 65832.99146972403, 65676.11821396978, 65627.82712871836, 65627.82712871836, 65597.60881477979, 65579.46327215407, 65555.24495821551, 65555.24495821551, 65543.10599453717]"
73388.0,101101,3.569597,79930.8893707991,100,500,1,"[163500.0, 142735.0, 135411.7271438696, 134726.33590227866, 111469.914386078, 106579.76701572022, 105725.86913011725, 105725.86913011725, 104518.62515080509, 102038.61740343859, 100130.7437009414, 98783.19348885253, 98161.35139826346, 97634.35022784151, 95984.57376202963, 95812.92392740483, 94286.19280708604, 94034.77087978975, 93372.3924959874, 92636.27742027034, 90858.98478620464, 90300.48258445648, 89355.07837459308, 87955.0148659811, 87647.90908291435, 87496.35863338344, 86898.16662718139, 86083.21983708566, 85904.15571505386, 85519.82394048228, 85073.02377156146, 84572.52292257712, 84536.18525043303, 84536.18525043303, 84440.16651971503, 84350.67516651865, 84267.73323192692, 84216.84916605052, 84216.84916605052, 84090.62174718236, 84034.19272243297, 83901.58198976793, 83844.34494641678, 83760.18326520635, 83740.75443391883, 83681.60221556496, 83560.59738774582, 83552.8797265067, 83552.8797265067, 83552.8797265067, 83494.68460209186, 83380.29435326217, 83155.51385560281, 83045.12360677312, 83045.12360677312, 82885.5382335286, 82676.77567308897, 82574.39439286914, 82474.01612924058, 82375.63786561202, 81845.55741565491, 81609.61947263288, 81609.61947263288, 81519.24429542408, 81430.86911821527, 81430.86911821527, 81252.93432343089, 81227.14560963919, 81202.62436091735, 80923.53737625534, 80835.59854530243, 80835.59854530243, 80777.28078572411, 80740.95113588743, 80711.96578128668, 80691.19522617768, 80691.19522617768, 80663.9549101013, 80589.90484794811, 80535.13851109266, 80534.64451790327, 80516.66765173522, 80516.66765173522, 80504.21741970745, 80475.73598599431, 80475.73598599431, 80472.68810937316, 80462.16243905034, 80461.70346267663, 80461.70346267663, 80395.81399833747, 80332.92453399832, 80273.04031441441, 80197.19468830254, 80161.2718752466, 80110.3876556627, 80078.46484260674, 80033.58062302283, 80005.65780996691, 79966.773590383, 79930.8893707991]"
83898.0,121121,4.472897,91894.38604632026,120,500,1,"[196200.0, 170955.0, 162151.7271438696, 161326.33590227866, 133269.914386078, 127359.76701572022, 126325.86913011725, 126325.86913011725, 124858.62515080509, 121838.61740343859, 119510.7437009414, 117863.19348885253, 117101.35139826346, 116454.35022784151, 114424.57376202963, 114212.92392740483, 112326.19280708604, 112014.77087978975, 111192.3924959874, 110276.27742027034, 108058.98478620464, 107360.48258445648, 106175.07837459308, 104415.0148659811, 104027.90908291435, 103836.35863338344, 103078.16662718139, 101983.21983708566, 101724.15571505386, 101159.82394048228, 100493.02377156146, 99732.52292257712, 99676.18525043303, 99676.18525043303, 99520.16651971503, 99370.67516651865, 99227.73323192692, 99136.84916605052, 99136.84916605052, 98890.62174718236, 98774.19272243297, 98481.58198976793, 98344.34494641678, 98120.18326520635, 98060.75443391883, 97841.60221556496, 97240.59738774582, 97172.8797265067, 97172.8797265067, 97155.29257422018, 97125.09995462882, 97074.7220955199, 97054.58185510403, 97054.58185510403, 97039.58658881983, 97029.85244242563, 97029.85244242563, 96884.30401402737, 96740.75860222033, 96599.21319041331, 95831.7134254747, 95487.85761200654, 95487.85761200654, 95354.31528661927, 95222.772961232, 95222.772961232, 94936.016287171, 94888.2294021368, 94841.70998217246, 94298.64494260031, 94122.71342667736, 94122.71342667736, 93998.40115337152, 93918.07516104981, 93801.41289490546, 93801.41289490546, 93728.75569786804, 93518.45499283173, 93349.61466171173, 93284.64872364818, 93284.64872364818, 93130.01596036584, 93076.63767160915, 93076.63767160915, 93050.05256660562, 92898.30352598832, 92895.08566698524, 92875.01265159035, 92809.35561581733, 92804.04446844211, 92749.82825775575, 92694.41806508925, 92625.74604618683, 92594.01973650466, 92550.34906548492, 92523.85210723498, 92488.03624732487, 92466.78312085998, 92438.84404873985, 92414.85234504075, 92408.17318276354, 92392.09221767106, 92392.09221767106, 92381.22027394678, 92370.07098109278, 92369.9453120146, 92369.9453120146, 92369.9453120146, 92286.72255977256, 92233.24072494452, 92181.7588901165, 92132.27705528846, 92061.0543030464, 92038.3133856324, 92038.3133856324, 92017.5724682184, 91997.83155080437, 91960.34971597634, 91960.34971597634, 91910.12696373428, 91894.38604632026]"
90080.0,141141,5.451268,99796.84207334873,140,500,1,"[228900.0, 199175.0, 188891.7271438696, 187926.33590227866, 155069.914386078, 148139.76701572022, 146925.86913011724, 146925.86913011724, 145198.62515080508, 141638.61740343858, 138890.7437009414, 136943.19348885253, 136041.35139826348, 135274.35022784153, 132864.5737620296, 132612.92392740483, 130366.19280708604, 129994.77087978975, 129012.3924959874, 127916.27742027034, 125258.98478620464, 124420.48258445648, 122995.07837459308, 120875.0148659811, 120407.90908291435, 120176.35863338344, 119258.16662718139, 117883.21983708566, 117544.15571505386, 116799.82394048228, 115913.02377156146, 114892.52292257712, 114816.18525043303, 114816.18525043303, 114600.16651971503, 114390.67516651865, 114187.73323192692, 114056.84916605052, 114056.84916605052, 113690.62174718236, 113514.19272243297, 113061.58198976793, 112844.34494641678, 112480.18326520635, 112380.75443391883, 112001.60221556496, 110920.59738774582, 110792.8797265067, 110792.8797265067, 110755.29257422018, 110685.09995462882, 110554.7220955199, 110494.58185510403, 110494.58185510403, 110419.58658881983, 110329.85244242563, 110290.14040798822, 110255.61587355082, 110226.29606352287, 110093.80298138496, 110047.04358343092, 110047.04358343092, 110039.23812933404, 110036.9113077158, 110036.9113077158, 110036.9113077158, 109602.13891876653, 109516.18444097669, 109431.2331227445, 108472.34057895595, 108201.87057421039, 108201.87057421039, 108006.6544342876, 107879.0591975546, 107691.49306479329, 107691.49306479329, 107571.56662334458, 107219.4581850744, 106932.44474292616, 106820.20956045133, 106820.20956045133, 106445.39509857897, 106445.39509857897, 106394.4316732517, 106096.41271069206, 106048.03818561221, 105906.80250274936, 105769.46072507837, 105636.0257655892, 105463.32072425658, 105379.57790335931, 105257.88246551692, 105179.36899605188, 105155.11277108696, 105078.25771268486, 105067.66094580333, 104997.70510208794, 104930.6220621783, 104897.57980302247, 104803.1187039577, 104772.94974322528, 104686.39938276714, 104686.39938276714, 104581.56824522195, 104382.50056472619, 104335.39529873758, 104335.39529873758, 104272.73236197131, 104233.62712155521, 104197.19535052686, 104163.44050257545, 104116.82884920502, 104102.63448855774, 104102.63448855774, 104091.12762791045, 104080.96541478277, 104063.33208800381, 104063.33208800381, 104044.96630836165, 104040.19451444027, 104040.19451444027, 104040.19451444027, 104040.19451444027, 104040.19451444027, 104040.19451444027, 104040.19451444027, 104040.19451444027, 103158.22401121471, 101581.70403265931, 100837.47340358146, 100449.71159334853, 100264.99309304095, 100232.47856933413, 100159.65843278996, 100085.84693213832, 100036.25396458039, 99988.99831674929, 99979.76975911355, 99944.76985291405, 99870.08643047867, 99796.84207334873]"
92973.0,161161,6.556998,103320.93580860997,160,500,1,"[261600.0, 227395.0, 215631.7271438696, 214526.33590227866, 176869.914386078, 168919.76701572022, 167525.86913011724, 167525.86913011724, 165538.62515080508, 161438.61740343858, 158270.7437009414, 156023.19348885253, 154981.35139826348, 154094.35022784153, 151304.5737620296, 151012.92392740483, 148406.19280708604, 147974.77087978975, 146832.39249598738, 145556.27742027034, 142458.98478620464, 141480.48258445648, 139815.07837459308, 137335.0148659811, 136787.90908291435, 136516.35863338344, 135438.1666271814, 133783.21983708566, 133364.15571505384, 132439.82394048228, 131333.02377156145, 130052.52292257712, 129956.18525043303, 129956.18525043303, 129680.16651971503, 129410.67516651865, 129147.73323192692, 128976.84916605052, 128976.84916605052, 128490.62174718236, 128254.19272243297, 127641.58198976793, 127344.34494641678, 126840.18326520635, 126700.75443391883, 126161.60221556496, 124600.59738774582, 124412.8797265067, 124412.8797265067, 124355.29257422018, 124245.09995462882, 124034.7220955199, 123934.58185510403, 123934.58185510403, 123799.58658881983, 123629.85244242563, 123550.14040798822, 123475.61587355082, 123406.29606352287, 123053.80298138496, 122907.04358343092, 122907.04358343092, 122859.23812933404, 122816.9113077158, 122816.9113077158, 122738.63735711848, 122725.77551854086, 122715.72341447652, 122628.80483237111, 122611.4939435003, 122611.4939435003, 122611.4939435003, 122297.93309637286, 122090.89253162123, 121783.3316844938, 121783.3316844938, 121582.29769868954, 120985.19574127677, 120492.61077676612, 120297.57679096187, 120297.57679096187, 119628.95784064697, 119628.95784064697, 119535.44084774485, 118980.34914674234, 118888.83386324192, 118617.28801274067, 118348.74216223942, 118083.2015564934, 117733.14741549872, 117560.12034500137, 117303.57973925536, 117134.55266875803, 116884.012063012, 116718.98499251467, 116474.44438676865, 116232.90378102264, 116153.39024577398, 116111.43123315184, 116077.6482691921, 115920.75859865837, 115920.75859865837, 115833.33584121759, 115621.75237836207, 115090.46276919669, 114967.38224788375, 114967.38224788375, 114789.52905653269, 114673.21777302827, 114559.16511021348, 114447.37218765845, 114283.0741081737, 114229.43937270726, 114229.43937270726, 114178.06779513553, 114127.82808569567, 114029.61298399659, 114029.61298399659, 113889.08679162493, 113843.37835779056, 113843.37835779056, 113843.37835779056, 113843.37835779056, 113843.37835779056, 113843.37835779056, 113843.37835779056, 112771.70899245015, 111912.89746294275, 111598.68532065125, 111233.80374047776, 110935.11984411781, 110839.95677918565, 110834.77826380478, 110814.57668141578, 110766.94645647485, 110759.2122183402, 110757.36593615191, 110757.36593615191, 110653.66262303674, 110321.38320266828, 110181.84077407379, 109501.68904066701, 107616.46824398641, 107036.69460208293, 106938.47695207022, 106744.04165204482, 106704.80206519685, 106561.55664574962, 106143.38817640438, 105636.3311514098, 105429.06552017563, 104790.32226725396, 104525.48692519368, 104474.56105078649, 104443.59927147148, 103887.6896713359, 103887.6896713359, 103720.35623206847, 103400.27869177502, 103393.0012411437, 103320.93580860997]"
94885.0,181181,7.663816,105185.19250651564,180,500,1,"[294300.0, 255615.0, 242371.7271438696, 241126.33590227866, 198669.914386078, 189699.76701572022, 188125.86913011724, 188125.86913011724, 185878.62515080508, 181238.61740343858, 177650.7437009414, 175103.19348885253, 173921.35139826348, 172914.35022784153, 169744.5737620296, 169412.92392740483, 166446.19280708604, 165954.77087978975, 164652.39249598738, 163196.27742027034, 159658.98478620464, 158540.48258445648, 156635.07837459308, 153795.0148659811, 153167.90908291435, 152856.35863338344, 151618.1666271814, 149683.21983708566, 149184.15571505384, 148079.82394048228, 146753.02377156145, 145212.52292257713, 145096.18525043305, 145096.18525043305, 144760.16651971504, 144430.67516651866, 144107.73323192692, 143896.84916605052, 143896.84916605052, 143290.62174718236, 142994.19272243296, 142221.58198976793, 141844.34494641676, 141200.18326520635, 141020.75443391883, 140321.60221556496, 138280.59738774583, 138032.8797265067, 138032.8797265067, 137955.29257422016, 137805.09995462882, 137514.72209551992, 137374.581855104, 137374.581855104, 137179.58658881983, 136929.85244242565, 136810.14040798822, 136695.61587355082, 136586.29606352287, 136013.80298138497, 135767.0435834309, 135767.0435834309, 135679.23812933403, 135596.9113077158, 135596.9113077158, 135418.63735711848, 135385.77551854085, 135355.72341447652, 135028.80483237113, 134931.4939435003, 134931.4939435003, 134876.19498737348, 134845.28047293297, 134807.89399538984, 134807.89399538984, 134795.08908001284, 134774.9456906657, 134773.70357432723, 134773.70357432723, 134530.66591525383, 134530.66591525383, 133694.03410849706, 133694.03410849706, 133576.51527896037, 132877.41255815054, 132761.89543801555, 132418.3440776106, 132077.7927172057, 131740.24660155602, 131294.18511402313, 131073.15437025667, 130744.60825460698, 130527.57751084052, 130205.03139519085, 129992.00065142439, 129675.45453577471, 129361.90842012502, 129258.39304824179, 128950.84693259212, 128950.84693259212, 128548.78544505921, 127805.89639725174, 127629.40002189187, 127629.40002189187, 127418.47643670702, 127371.84996015008, 127203.68322212368, 127085.05862854217, 127040.92513844199, 127038.24409706173, 126877.62399274544, 126640.08514061884, 126562.03681427176, 126562.03681427176, 126486.25164581943, 126411.59834549893, 126264.55606203861, 126264.55606203861, 126050.78909702506, 125980.66707231008, 125980.66707231008, 125980.66707231008, 125980.66707231008, 125980.66707231008, 125980.66707231008, 125980.66707231008, 122929.13661988116, 119009.7917912993, 117773.06654389291, 116860.0323508936, 116054.50875629637, 115768.6234673505, 115750.61762507146, 115665.82351619119, 115411.50764808521, 115339.69413457165, 115277.34214428731, 115252.1777653846, 115139.71141997047, 115046.39578007761, 114931.82220060684, 114690.80063900576, 114675.78770597116, 114672.07559015957, 114672.07559015957, 114382.74950929871, 114350.25374982669, 113845.8783557447, 111656.0730226985, 111032.8942031895, 110570.27546910814, 110478.67990837614, 110131.51276140465, 109739.61421076683, 109687.56062169572, 108842.24823517741, 108796.46266265561, 108713.77342976985, 108526.2151172262, 107560.79446182339, 107560.79446182339, 107220.5451244629, 107217.6901163564, 107183.94046364329, 107183.94046364329, 107094.28503955939, 106978.16735505211, 106655.12131121913, 106607.40997364519, 106213.25116345889, 106094.30799479253, 105970.12388272502, 105872.9167821391, 105861.92016831742, 105755.51208451032, 105668.68544761713, 105533.63815216029, 105485.70924134586, 105410.10804543116, 105277.55669486326, 105185.19250651564]"
96381.0,201201,8.823515,105408.82845586218,200,500,1,"[327000.0, 283835.0, 269111.7271438696, 267726.33590227866, 220469.914386078, 210479.76701572022, 208725.86913011724, 208725.86913011724, 206218.62515080508, 201038.61740343858, 197030.7437009414, 194183.19348885253, 192861.35139826348, 191734.35022784153, 188184.5737620296, 187812.92392740483, 184486.19280708604, 183934.77087978975, 182472.39249598738, 180836.27742027034, 176858.98478620464, 175600.48258445648, 173455.07837459308, 170255.0148659811, 169547.90908291435, 169196.35863338344, 167798.1666271814, 165583.21983708566, 165004.15571505384, 163719.82394048228, 162173.02377156145, 160372.52292257713, 160236.18525043305, 160236.18525043305, 159840.16651971504, 159450.67516651866, 159067.73323192692, 158816.84916605052, 158816.84916605052, 158090.62174718236, 157734.19272243296, 156801.58198976793, 156344.34494641676, 155560.18326520635, 155340.75443391883, 154481.60221556496, 151960.59738774583, 151652.8797265067, 151652.8797265067, 151555.29257422016, 151365.09995462882, 150994.72209551992, 150814.581855104, 150814.581855104, 150559.58658881983, 150229.85244242565, 150070.14040798822, 149915.61587355082, 149766.29606352287, 148973.80298138497, 148627.0435834309, 148627.0435834309, 148499.23812933403, 148376.9113077158, 148376.9113077158, 148098.63735711848, 148045.77551854085, 147995.72341447652, 147428.80483237113, 147251.4939435003, 147251.4939435003, 147136.19498737348, 147065.28047293297, 146967.89399538984, 146967.89399538984, 146915.08908001284, 146774.9456906657, 146673.70357432723, 146639.53651502586, 146639.53651502586, 146564.58621607328, 146564.58621607328, 146560.42651654212, 146555.2211283441, 146555.2211283441, 146416.08085005678, 146001.6600151949, 145590.239180333, 145181.82359022638, 144641.2694700842, 144372.9924100131, 143973.57681990645, 143709.29975983535, 143315.88416972873, 143055.6071096576, 142668.19151955098, 142283.77592944432, 142156.6373994088, 141778.22180930214, 141778.22180930214, 141281.66768915995, 140347.39695656858, 140122.74134316493, 140122.74134316493, 139792.52551367774, 139574.63913808254, 139359.011383177, 139145.64336853122, 138828.98265091036, 138724.56036939853, 138724.56036939853, 138622.40124578145, 138521.3739902962, 138321.58379650637, 138321.58379650637, 138303.987053383, 138030.96665218158, 137935.2763032903, 137935.2763032903, 137935.2763032903, 137935.2763032903, 137935.2763032903, 137935.2763032903, 137935.2763032903, 137915.65532790215, 137624.87502255052, 132603.58999414224, 126824.64436618637, 125342.18731786351, 122940.40760598998, 121301.98005459626, 120815.52005039655, 120784.02423623108, 120631.30082506045, 120159.62217063394, 120020.41911990591, 119894.43576607516, 119840.61785642192, 119583.14280235887, 119352.75231677105, 119043.04253887106, 118296.04981499707, 118232.70068998872, 118200.33504342657, 118146.11987933452, 118141.52943585676, 118078.85519787094, 117963.48585011871, 117963.48585011871, 115551.86554504251, 115532.65495755483, 114893.10644607407, 114440.3927355349, 114050.21600903975, 113890.39478981975, 113496.67765122138, 113136.35764574129, 112739.67056801118, 111578.55193590451, 111464.7071665363, 111464.7071665363, 111407.97664235062, 111349.56468366098, 111213.31333678286, 110834.12932566369, 110517.93409139512, 110440.27541091203, 110440.27541091203, 110056.00586303894, 109763.52550826069, 109602.9589214417, 109437.61010177417, 108853.11828217027, 108811.98614268505, 108809.21130318419, 108653.24847823328, 108568.8490817577, 108503.64667271292, 108412.21750237624, 108057.31193172766, 107898.4434695334, 107757.86442702115, 107737.2727050614, 107680.72586424905, 107447.56551862646, 107439.83046042931, 107157.11653903237, 106989.35025424897, 106829.52811028651, 106442.51778858538, 106361.58835446148, 106281.67446791328, 106253.0491382641, 106210.67417159345, 106210.67417159345, 105723.91723015241, 105663.39881222053, 105611.42718549584, 105525.90205118278, 105450.47903854362, 105408.82845586218]"
