dual,BQS,greedy,pd,GLP,queriesG,queriesPD,queriesBQS,queriesGLP,timeG,timePD,timeBQS,timeGLP,k,n,trial
24991.50694645915,24122.0,23137.0,22248.0,24672.304266446263,24400,26026,31040,37426,0.513951,0.625929,1.1419190000000001,1.255249,25,500,1
24991.50694645915,24122.0,23137.0,22248.0,24672.304266446263,24400,26026,31040,37426,0.511247,0.618759,1.142228,1.241122,25,500,2
24991.50694645915,24122.0,23137.0,22248.0,24672.304266446263,24400,26026,31040,37426,0.518034,0.626913,1.1520890000000001,1.23677,25,500,3
24991.50694645915,24122.0,23137.0,22248.0,24672.304266446263,24400,26026,31040,37426,0.510195,0.622745,1.150674,1.231412,25,500,4
24991.50694645915,24122.0,23137.0,22248.0,24672.304266446263,24400,26026,31040,37426,0.50867,0.619614,1.138461,1.2358500000000001,25,500,5
43219.345930019685,40933.0,39278.0,37914.0,43109.258296312466,47550,51051,61434,73101,1.135413,1.335954,2.043104,2.662556,50,500,1
43219.345930019685,40933.0,39278.0,37914.0,43109.258296312466,47550,51051,61434,73101,1.154336,1.351914,2.071352,2.6624689999999998,50,500,2
43219.345930019685,40933.0,39278.0,37914.0,43109.258296312466,47550,51051,61434,73101,1.116671,1.336652,2.02305,2.657869,50,500,3
43219.345930019685,40933.0,39278.0,37914.0,43109.258296312466,47550,51051,61434,73101,1.129532,1.368157,2.073982,2.651814,50,500,4
43219.345930019685,40933.0,39278.0,37914.0,43109.258296312466,47550,51051,61434,73101,1.108802,1.363045,2.052512,2.641367,50,500,5
59682.98437368173,55722.0,53185.0,51901.0,58702.60103196521,69450,76076,91654,107526,1.83176,2.177411,3.13343,4.423776,75,500,1
59682.98437368173,55722.0,53185.0,51901.0,58702.60103196521,69450,76076,91654,107526,1.8279,2.289316,3.164148,4.436145,75,500,2
59682.98437368173,55722.0,53185.0,51901.0,58702.60103196521,69450,76076,91654,107526,1.865939,2.174973,3.201501,4.42377,75,500,3
59682.98437368173,55722.0,53185.0,51901.0,58702.60103196521,69450,76076,91654,107526,1.841846,2.179496,3.1348710000000004,4.383775,75,500,4
59682.98437368173,55722.0,53185.0,51901.0,58702.60103196521,69450,76076,91654,107526,1.816181,2.213108,3.118041,4.419421,75,500,5
73532.24842599503,68886.0,65490.0,64515.0,72763.50148114985,90100,101101,125136,140701,2.542315,3.207453,4.695233999999999,5.884175,100,500,1
73532.24842599503,68886.0,65490.0,64515.0,72763.50148114985,90100,101101,125136,140701,2.563407,3.195056,4.693315,5.964519,100,500,2
73532.24842599503,68886.0,65490.0,64515.0,72763.50148114985,90100,101101,125136,140701,2.625055,3.207188,4.743463,5.983532,100,500,3
73532.24842599503,68886.0,65490.0,64515.0,72763.50148114985,90100,101101,125136,140701,2.52852,3.140581,4.666956,5.879016,100,500,4
73532.24842599503,68886.0,65490.0,64515.0,72763.50148114985,90100,101101,125136,140701,2.569984,3.154574,4.6448,5.92096,100,500,5
83198.09795463525,79879.0,73794.0,73256.0,82623.57093434155,109500,126126,157544,172626,3.381156,4.220842,6.4767969999999995,7.82658,125,500,1
83198.09795463525,79879.0,73794.0,73256.0,82623.57093434155,109500,126126,157544,172626,3.34909,4.235048,6.420204,7.808370999999999,125,500,2
83198.09795463525,79879.0,73794.0,73256.0,82623.57093434155,109500,126126,157544,172626,3.410608,4.207665,6.587282999999999,7.885293,125,500,3
83198.09795463525,79879.0,73794.0,73256.0,82623.57093434155,109500,126126,157544,172626,3.398512,4.253563,6.590463,7.889789,125,500,4
83198.09795463525,79879.0,73794.0,73256.0,82623.57093434155,109500,126126,157544,172626,3.439862,4.318348,6.6291,7.879041000000001,125,500,5
86632.58474298885,82345.0,77333.0,77300.0,84154.01321979446,127650,151151,207958,203301,4.236355,5.411527,11.352069,10.196227,150,500,1
86632.58474298885,82345.0,77333.0,77300.0,84154.01321979446,127650,151151,207958,203301,4.250074,5.488451,11.151822,10.210994,150,500,2
86632.58474298885,82345.0,77333.0,77300.0,84154.01321979446,127650,151151,207958,203301,4.273423,5.442954,11.307006000000001,10.237494,150,500,3
86632.58474298885,82345.0,77333.0,77300.0,84154.01321979446,127650,151151,207958,203301,4.29559,5.494343,11.278074,10.29346,150,500,4
86632.58474298885,82345.0,77333.0,77300.0,84154.01321979446,127650,151151,207958,203301,4.27647,5.418009,11.329274999999999,10.279159,150,500,5
87986.95119329583,83481.0,79625.0,79621.0,84760.43048797113,144550,176176,261558,232726,5.10095,6.768841,16.237894,12.245474999999999,175,500,1
87986.95119329583,83481.0,79625.0,79621.0,84760.43048797113,144550,176176,261558,232726,5.001537,6.709236,16.045783,12.159049,175,500,2
87986.95119329583,83481.0,79625.0,79621.0,84760.43048797113,144550,176176,261558,232726,4.914886,6.670331,16.236645,12.279817000000001,175,500,3
87986.95119329583,83481.0,79625.0,79621.0,84760.43048797113,144550,176176,261558,232726,5.128791,6.687195,16.472409,12.452948,175,500,4
87986.95119329583,83481.0,79625.0,79621.0,84760.43048797113,144550,176176,261558,232726,5.281932,6.785507,16.83623,12.83751,175,500,5
86754.10705203032,84082.0,81183.0,81183.0,84935.60214220519,160200,201201,308908,260901,6.213043,8.29462,21.741393,15.664921,200,500,1
86754.10705203032,84082.0,81183.0,81183.0,84935.60214220519,160200,201201,308908,260901,6.589102,8.253621,22.371536,15.967326,200,500,2
86754.10705203032,84082.0,81183.0,81183.0,84935.60214220519,160200,201201,308908,260901,6.495677,8.350325,21.827551,15.674627999999998,200,500,3
86754.10705203032,84082.0,81183.0,81183.0,84935.60214220519,160200,201201,308908,260901,6.1496,8.277625,21.50416,15.276125,200,500,4
86754.10705203032,84082.0,81183.0,81183.0,84935.60214220519,160200,201201,308908,260901,6.248314,8.239381,22.090877,15.285087999999998,200,500,5
