BQS,topk,marginal,curvature,dualfit_min,dualfit_tau,dualfit_lp,k,n,trial
21727.0,22048.0,27894.999999999975,0.6321205588285577,27647.0,30585.25278760394,21678.65785149017,20,500,1
37805.0,38714.0,48834.999999999956,0.6321205588285577,48515.0,52701.45633998978,37687.23669310734,40,500,1
51788.0,53571.0,69774.9999999998,0.6321205588285577,69295.0,70911.65957939085,52129.50775897702,60,500,1
64591.0,67281.0,89559.00000000026,0.6321205588285577,89399.0,87625.43308233743,65280.36167367347,80,500,1
76473.0,80228.0,101625.0,0.6321205588285577,106159.0,101635.35184123061,77618.99729224807,100,500,1
87571.0,92630.0,101625.0,0.6321205588285577,121319.0,115732.49632663207,89029.00382203331,120,500,1
97979.0,104641.0,101625.0,0.6321205588285577,113112.0,118599.18945918398,98576.21696371448,140,500,1
100009.0,116343.0,101625.0,0.6321205588285577,110193.0,120143.71462814834,100818.19688155585,160,500,1
100855.0,127752.0,101625.0,0.6321205588285577,109853.0,121621.5405398657,101810.38514549812,180,500,1
101311.0,138953.0,101625.0,0.6321205588285577,108989.0,122973.37600911965,102146.42316108316,200,500,1
