dual,BQS,greedy,pd,GLP,queriesG,queriesPD,queriesBQS,queriesGLP,timeG,timePD,timeBQS,timeGLP,k,n,trial
43.0,43.0,43,43,43.000000019127064,9910,11011,11206,15421,0.146327,0.196276,0.349439,0.39684600000000003,10,500,1
43.0,43.0,43,43,43.000000019127064,9910,11011,11206,15421,0.149002,0.199564,0.36219999999999997,0.40123299999999995,10,500,2
43.0,43.0,43,43,43.000000019127064,9910,11011,11206,15421,0.156056,0.19317,0.353418,0.40764999999999996,10,500,3
43.0,43.0,43,43,43.000000019127064,9910,11011,11206,15421,0.145806,0.220466,0.34124699999999997,0.38548,10,500,4
43.0,43.0,43,43,43.000000019127064,9910,11011,11206,15421,0.147027,0.18721,0.352259,0.387611,10,500,5
63.0,63.0,63,63,63.00000042462268,14790,16016,17666,22806,0.249145,0.313125,0.597175,0.608209,15,500,1
63.0,63.0,63,63,63.00000042462268,14790,16016,17666,22806,0.248237,0.29266,0.585382,0.610712,15,500,2
63.0,63.0,63,63,63.00000042462268,14790,16016,17666,22806,0.259281,0.303467,0.6303650000000001,0.610927,15,500,3
63.0,63.0,63,63,63.00000042462268,14790,16016,17666,22806,0.25696,0.29771,0.6159479999999999,0.61771,15,500,4
63.0,63.0,63,63,63.00000042462268,14790,16016,17666,22806,0.242749,0.3116,0.5933809999999999,0.603891,15,500,5
83.0,83.0,83,83,83.00000056437567,19620,21021,24748,30141,0.376325,0.436529,0.910299,0.903788,20,500,1
83.0,83.0,83,83,83.00000056437567,19620,21021,24748,30141,0.380882,0.443266,0.9711700000000001,0.8693960000000001,20,500,2
83.0,83.0,83,83,83.00000056437567,19620,21021,24748,30141,0.40092,0.446968,1.024047,0.8941410000000001,20,500,3
83.0,83.0,83,83,83.00000056437567,19620,21021,24748,30141,0.393427,0.452929,0.94184,0.876913,20,500,4
83.0,83.0,83,83,83.00000056437567,19620,21021,24748,30141,0.368744,0.4513,0.922148,0.848767,20,500,5
103.0,103.0,103,103,103.00000020359113,24400,26026,30996,37426,0.519833,0.611997,1.124216,1.145249,25,500,1
103.0,103.0,103,103,103.00000020359113,24400,26026,30996,37426,0.50866,0.602569,1.1034929999999998,1.1398220000000001,25,500,2
103.0,103.0,103,103,103.00000020359113,24400,26026,30996,37426,0.507219,0.599633,1.136285,1.153909,25,500,3
103.0,103.0,103,103,103.00000020359113,24400,26026,30996,37426,0.520077,0.611063,1.110174,1.138336,25,500,4
103.0,103.0,103,103,103.00000020359113,24400,26026,30996,37426,0.505193,0.561054,1.077332,1.115736,25,500,5
123.0,123.0,123,123,123.00000000245886,29130,31031,37270,44661,0.623908,0.716721,1.253433,1.5415999999999999,30,500,1
123.0,123.0,123,123,123.00000000245886,29130,31031,37270,44661,0.652295,0.72937,1.2673839999999998,1.583387,30,500,2
123.0,123.0,123,123,123.00000000245886,29130,31031,37270,44661,0.648564,0.725554,1.2882410000000002,1.578591,30,500,3
123.0,123.0,123,123,123.00000000245886,29130,31031,37270,44661,0.686554,0.727818,1.3352330000000001,1.619448,30,500,4
123.0,123.0,123,123,123.00000000245886,29130,31031,37270,44661,0.654203,0.750028,1.274101,1.569899,30,500,5
143.0,143.0,141,141,143.00000033933225,33810,36036,43626,51846,0.798306,0.937501,1.474808,1.803712,35,500,1
143.0,143.0,141,141,143.00000033933225,33810,36036,43626,51846,0.832071,0.908132,1.526119,1.817494,35,500,2
143.0,143.0,141,141,143.00000033933225,33810,36036,43626,51846,0.825842,0.921293,1.510616,1.8072279999999998,35,500,3
143.0,143.0,141,141,143.00000033933225,33810,36036,43626,51846,0.825267,0.932287,1.514138,1.807609,35,500,4
143.0,143.0,141,141,143.00000033933225,33810,36036,43626,51846,0.820313,0.952038,1.540543,1.7981099999999999,35,500,5
162.25,160.0,156,151,163.0000006656492,38440,41041,50096,58981,1.002746,1.124969,1.748209,2.214067,40,500,1
162.25,160.0,156,151,163.0000006656492,38440,41041,50096,58981,1.018488,1.136995,1.748167,2.2309229999999998,40,500,2
162.25,160.0,156,151,163.0000006656492,38440,41041,50096,58981,1.01356,1.11072,1.749636,2.25883,40,500,3
162.25,160.0,156,151,163.0000006656492,38440,41041,50096,58981,1.011996,1.151909,1.75082,2.19479,40,500,4
162.25,160.0,156,151,163.0000006656492,38440,41041,50096,58981,0.953461,1.14291,1.675636,2.140307,40,500,5
