f_of_S,Queries,Time,dual,k,n,trial,dual_history
810.5038414269891,12012,0.790429,857.2619211781789,20,571,1,"[1446.132538071442, 1292.8260136767935, 1245.423795885889, 1242.7922186110593, 1241.987543933328, 1118.2634835982724, 989.8334135698238, 982.4866598316252, 977.4790285743503, 935.7785782080898, 911.1240338920887, 899.2556072041123, 896.401214129071, 895.5815598461895, 891.9357398881102, 886.9067937058313, 875.452666389444, 865.9627482328082, 858.8498697326955, 857.3679222112874, 857.2619211781789]"
1235.645783888968,23452,1.877417,1350.586683193221,40,571,1,"[2892.265076142884, 2577.5832629117635, 2475.8053406775934, 2475.8053406775934, 2450.977287293062, 2158.011682241451, 1881.1867475180554, 1874.059763345902, 1873.632814766566, 1800.8258711875606, 1716.8066390784984, 1699.1589190898517, 1692.341502820894, 1678.4867812455072, 1641.5250575911816, 1639.4837455030515, 1588.5872689330631, 1514.4252250523573, 1481.4212342887945, 1458.757668827794, 1447.561352350822, 1447.5079364546677, 1447.219542415215, 1444.5492904047137, 1432.8755098741663, 1429.5908014015235, 1429.031526555255, 1416.4388609052387, 1409.5302986590286, 1394.8976349811146, 1392.9702926895718, 1374.3562278085287, 1373.9009708861026, 1372.4434060356689, 1367.640697362042, 1365.0672986905183, 1361.7746966003792, 1356.6025396346736, 1355.2312027166513, 1354.2521549648045, 1350.586683193221]"
1525.9265428880963,34892,3.201144,1640.159631303939,60,571,1,"[4338.397614214326, 3862.340512146734, 3704.810024596032, 3638.733647941499, 3548.7957447891367, 3105.5913679161863, 2682.7795203506726, 2682.7795203506726, 2681.1138385231448, 2563.0088852614845, 2437.3521981063523, 2403.190128762485, 2394.369276489702, 2376.936193775206, 2306.7635989617784, 2305.6581096415825, 2218.964372506214, 2089.4453517548727, 2030.6843172452423, 1995.0173799497043, 1972.6987300416163, 1971.6160833877634, 1970.9174937216487, 1966.9144478271717, 1946.1665988343789, 1936.8905026388834, 1932.3345513369047, 1908.946235730435, 1896.4114170897908, 1860.365216254613, 1855.855314812555, 1813.8449072189148, 1810.2827520888318, 1808.765885883835, 1793.6001519612328, 1786.1000454817463, 1775.4609862361326, 1758.454674524789, 1754.2801978802872, 1750.9769678407636, 1735.5235267359758, 1730.2754184583541, 1722.2737428918576, 1713.3367817252458, 1686.8903274985034, 1683.549596061068, 1676.8563987819844, 1673.2190061504582, 1656.0263105423724, 1652.0589785326324, 1650.3175966672952, 1649.4335416836107, 1648.549415098157, 1647.210218338575, 1645.2176277439103, 1643.7749760742977, 1643.534211194621, 1642.5341116566003, 1640.9751239763416, 1640.8035452477127, 1640.159631303939]"
1755.1782674866345,46332,4.561665,1861.6247638790655,80,571,1,"[5784.530152285768, 5147.097761381704, 4933.81470851447, 4785.646622734917, 4646.614202285211, 4053.171053590922, 3477.5325180508357, 3477.5325180508357, 3475.277726052245, 3314.6725007841733, 3142.999478111752, 3096.1003186339235, 3083.9321944010726, 3059.7621711980737, 2961.9410258864896, 2960.391714087288, 2838.2293583461037, 2654.6978659459455, 2570.941859906224, 2519.7911422333455, 2487.5823555826473, 2486.010276622463, 2484.989050088509, 2479.0962799564213, 2448.33214575606, 2434.4694001474645, 2427.6081538680996, 2392.104615681327, 2372.9195188852955, 2317.2280733814578, 2310.198265452347, 2244.093192995122, 2238.428438425886, 2235.991556303762, 2211.3397630061804, 2199.010402435794, 2181.313771859173, 2152.681945321751, 2145.5620263523933, 2139.849383814503, 2112.7346709592966, 2103.3749334503937, 2088.8745791162205, 2072.4047561730695, 2022.7855826192813, 2016.392383331508, 2003.3182986142488, 1996.0529582063969, 1960.9086316514251, 1952.5944691890813, 1948.8407589658366, 1946.8788095425323, 1944.8525393031741, 1941.6648794616983, 1936.7353105616949, 1933.0128679790437, 1932.3624360424255, 1929.5221168737867, 1924.827898380986, 1924.2758811946342, 1922.043034861948, 1921.1526699274948, 1915.6750192144427, 1907.5160567915666, 1907.4942352801486, 1903.1479034361982, 1903.1433574064404, 1890.5770041378096, 1887.515392064966, 1884.8525450595178, 1884.3235432207866, 1882.9067547412378, 1882.796616889565, 1876.136754428394, 1875.0342020591684, 1867.2660373416138, 1866.306883081039, 1865.8551258187504, 1865.4001359106755, 1863.9807789869901, 1861.6247638790655]"
1940.2321854138736,57772,6.400452,2087.516351187246,100,571,1,"[7230.66269035721, 6431.855010616675, 6162.819392432909, 5932.559597528336, 5744.432659781285, 5000.750739265658, 4272.2855157509985, 4270.843165201505, 4251.312054285154, 4093.1684212047085, 3913.9499431394124, 3822.8445315687513, 3821.2303927909093, 3821.2303927909093, 3667.9845773801762, 3665.676453417197, 3484.4036194615383, 3296.5192381624765, 3183.493510239701, 3156.289425749541, 3100.384677139865, 3068.035299263031, 3058.4546864981226, 3057.781990615985, 3057.3044409173253, 3005.8765958829554, 2979.715201993439, 2970.147206879191, 2943.8990004770085, 2833.847028333117, 2824.959917945662, 2775.231048083864, 2769.874576894546, 2728.4863603231506, 2684.868294497323, 2673.1722850289825, 2643.1197125868625, 2609.328531636699, 2606.117857637172, 2597.2708710178017, 2573.5981363556407, 2538.8751734924167, 2508.4849945700576, 2489.512092071325, 2408.230878145747, 2406.825013006616, 2397.897805331535, 2369.126355110948, 2319.9140591922637, 2315.1280708674617, 2310.8757874866174, 2310.3499012845878, 2304.5797848971215, 2304.3894177698085, 2296.275188456406, 2287.7488848983694, 2275.843182603565, 2269.372512395268, 2260.1979191150585, 2256.086172565838, 2255.4379358806364, 2254.9687760204292, 2252.2588847686034, 2230.8677851837097, 2229.9335259062514, 2228.0818793208073, 2211.789591804007, 2203.179705865801, 2189.0139429413957, 2183.3846969811198, 2180.0691589400967, 2176.789610840755, 2176.732050376483, 2165.2958234179464, 2158.5635518596655, 2141.760274440884, 2140.0996994524617, 2139.445634530105, 2138.6034358536276, 2134.099800409143, 2125.8624210883427, 2120.382443233905, 2119.1033783237526, 2117.990412867916, 2114.343850267034, 2112.7406701955524, 2109.302012366698, 2106.4182367275043, 2101.8125582872885, 2100.744967153488, 2096.4968982598302, 2095.810433563935, 2095.5585832114202, 2092.838586942921, 2091.8703279203355, 2091.6425438176975, 2090.990515696547, 2090.3204098008455, 2089.4349176510395, 2087.519769747451, 2087.516351187246]"
2098.595899750396,69212,8.351789,2240.903217370938,120,571,1,"[8676.795228428651, 7716.612259851645, 7391.824076351347, 7079.472572321755, 6842.25111727736, 5948.330424940393, 5067.038513451162, 5045.629241256339, 5022.152451366987, 4824.062815005777, 4626.089230087871, 4586.533379867298, 4447.837099504783, 4429.703869630515, 4270.099876223932, 4264.541906056571, 4015.1935086729786, 3829.4861838454717, 3684.902248180074, 3656.811885148744, 3588.832265755823, 3588.832265755823, 3574.90250795155, 3559.2050393491027, 3554.419739313493, 3488.3622219444187, 3470.09074401641, 3462.992419892232, 3414.1941787124165, 3284.960685000008, 3264.4837908592463, 3220.567311466368, 3217.499449657589, 3148.701200864099, 3081.3770759518466, 3077.4869242925424, 3029.9910462724683, 2998.4897291665657, 2997.2356611455193, 2986.8579743568807, 2959.2249292094957, 2905.429554168367, 2867.8538938276815, 2846.2925754808393, 2747.484787080839, 2740.8137593116057, 2720.8336313225027, 2687.8912612026475, 2635.6334016523238, 2624.482868128761, 2619.4662907435463, 2617.6735719105945, 2611.530833069151, 2600.694641226918, 2600.238720118604, 2588.322646033804, 2557.232111271629, 2557.0798657951154, 2546.8931350244548, 2543.2510547855395, 2541.302905946244, 2539.5977800601822, 2531.135559890802, 2507.776776692695, 2504.150753013996, 2502.541488137886, 2470.5186409566422, 2468.5349876634064, 2449.946205165258, 2434.3400733286335, 2431.2087702729723, 2427.2881310711336, 2427.189109606993, 2412.28113055819, 2396.578208340917, 2373.931316366141, 2373.5386685111393, 2371.1493408302445, 2368.7250727179976, 2364.0034404343432, 2350.686304475661, 2342.3588006689542, 2336.6904317070275, 2336.0480418105744, 2331.661304283324, 2324.802202872543, 2320.916835972899, 2315.7453687088573, 2307.654598399236, 2304.4399481576643, 2299.8349500963404, 2299.518344247648, 2299.021552136179, 2290.793784207968, 2290.3995613456, 2289.405017330133, 2287.605406059225, 2286.7099684953246, 2285.733928386835, 2280.3852325008634, 2279.959515452395, 2264.5808414644694, 2263.8367399148747, 2262.763926635665, 2259.9547239334506, 2257.478302471087, 2257.465859961959, 2253.184692743724, 2252.6074154189428, 2252.5512979545947, 2252.087852058, 2250.8318712626196, 2249.4184455853306, 2249.371965137291, 2246.270888117719, 2246.234220744577, 2244.909640393047, 2243.687357408809, 2243.5050080773353, 2241.8738174330083, 2240.903217370938]"
2235.5652633185964,80652,10.582905,2370.5987361461043,140,571,1,"[10122.927766500094, 9001.369509086613, 8620.828760269784, 8226.385547115173, 7940.069574773434, 6895.910110615128, 5859.961044962979, 5807.860106246384, 5807.860106246384, 5549.040932742711, 5312.030266024014, 5265.826373749564, 5103.622249257807, 5082.389321969135, 4895.268987248004, 4888.74457162749, 4595.666244207165, 4377.1056178326135, 4206.7219015388255, 4173.574758278353, 4087.522612427546, 4084.238522135405, 4083.0257044946184, 4083.0257044946184, 4072.793266523362, 3991.3132243434434, 3987.033096051521, 3961.941277580622, 3902.8557168992447, 3751.216938093989, 3719.048526836587, 3681.982465708889, 3680.5047710442495, 3583.7794622463175, 3500.224744127791, 3498.458240357936, 3433.9557240327963, 3401.179213326591, 3400.584191221132, 3391.184499277134, 3360.5228699847835, 3287.3050367257047, 3241.9489167852635, 3216.1968807314497, 3100.515267487838, 3088.3232181971466, 3057.5938775117447, 3019.6520910284207, 2955.5224251133714, 2944.848181068336, 2939.864838936646, 2929.6681387848485, 2929.179325049588, 2915.4170199593063, 2902.7239852823395, 2899.93625627403, 2856.379911761377, 2849.827843576786, 2843.555018869746, 2841.9546983582877, 2835.874366283852, 2833.8601603994703, 2822.754350057705, 2794.655222500971, 2785.8447316505617, 2783.954068776463, 2743.8793961051124, 2742.5204190443424, 2718.547901589399, 2696.5270265426957, 2690.356463299684, 2686.16281323683, 2683.124516792748, 2668.5645255837735, 2643.539360665425, 2615.838381746617, 2612.78337569171, 2612.508077358471, 2606.6464375915994, 2602.651135842776, 2580.6323152540053, 2570.184344088734, 2563.3898111403373, 2558.723631307325, 2557.1620182028637, 2545.1792117870755, 2539.911628686208, 2532.1461036942674, 2522.4685929813536, 2512.7495198669912, 2510.9552345190436, 2509.9431148586887, 2507.7527224170617, 2496.720024853117, 2495.380290880284, 2493.384740111358, 2491.025834889904, 2490.1266410160747, 2489.5177916830094, 2479.392099875714, 2479.353124387479, 2453.529027391366, 2452.7523444047847, 2452.091728514936, 2447.934912763561, 2443.770127257394, 2443.0540395133394, 2436.4380415537607, 2434.39729846018, 2434.300887755354, 2433.6066819711077, 2432.145309544331, 2429.53500402185, 2429.4611651632194, 2422.446484151119, 2422.106674624928, 2420.767152284722, 2418.203724436848, 2417.06304437954, 2414.1482104925144, 2411.9341407822967, 2409.9034718514545, 2409.7767195361366, 2407.376519390029, 2402.8185171222212, 2401.038904472899, 2398.5560728736855, 2392.835491467975, 2390.8834163664774, 2390.464088013759, 2386.9934466590994, 2384.6327083241717, 2383.8713340326203, 2380.398270988306, 2378.4481390149895, 2378.3390083897557, 2377.132767582835, 2376.4525572697144, 2373.431814683955, 2373.091001370377, 2370.5987361461043]"
2349.108070814298,92092,13.355615,2476.256427931283,160,571,1,"[11569.060304571536, 10286.126758321583, 9849.833444188222, 9373.298521908591, 9037.88803226951, 7843.489796289864, 6646.011154320626, 6582.646182301218, 6582.646182301218, 6274.0190504796465, 5997.971301960157, 5945.119367631828, 5759.407399010832, 5735.074774307755, 5520.438098272078, 5512.947237198408, 5176.138979741351, 4924.725051819755, 4728.541554897576, 4690.337631407963, 4586.21295909927, 4579.58397160016, 4574.49248919733, 4572.621353578975, 4572.621353578975, 4481.112440238606, 4477.652426186622, 4444.087592315478, 4375.152968123381, 4200.257171048907, 4159.000553808213, 4123.646279965224, 4123.263271655412, 4003.999291047938, 3904.708427756397, 3904.5628719601114, 3823.6986746157745, 3789.843093327106, 3789.825392373226, 3779.6697457770415, 3745.317016269448, 3655.744137697353, 3602.4630040781876, 3572.3419200044527, 3438.51628630414, 3421.4015820607683, 3382.743914884848, 3338.8524457717353, 3263.3822535713807, 3249.15086088363, 3246.695489991676, 3234.4186049470636, 3229.467693257118, 3217.281039031849, 3198.4578215787687, 3195.3941442883097, 3143.9404980438017, 3132.99832854649, 3128.664124787032, 3127.363435845641, 3118.975537575698, 3116.5018835485125, 3102.6154135328384, 3069.668800872594, 3057.1110705442456, 3054.9484250599107, 3007.879394100837, 3003.9236572512114, 2976.1281396411437, 2948.2040556876686, 2939.608547529874, 2934.93570912539, 2929.7991700958755, 2914.368676581404, 2880.9863734190612, 2848.2584102742258, 2844.0572460433286, 2842.7573206556817, 2835.394499477982, 2831.5941281338673, 2801.994301942351, 2789.248870338746, 2781.0288326160894, 2773.5855680840823, 2773.203559355609, 2756.952208500469, 2750.329338097844, 2740.0784219626385, 2728.6736545863914, 2713.650838978526, 2713.509286226436, 2711.2981293311527, 2708.4660689871025, 2694.8305663783094, 2692.0046831253694, 2689.41932830274, 2687.252838377074, 2685.2368461102205, 2684.8813784252907, 2671.0298095080425, 2670.6348671699516, 2635.7897035318997, 2634.0206552642403, 2633.64527286995, 2628.5345330603263, 2622.7611539150275, 2621.3818534242123, 2612.5048550803567, 2609.019217639575, 2608.8570124747803, 2607.995540774183, 2606.375824486783, 2602.615394661721, 2602.1126946456134, 2591.6948974807387, 2591.0495678615534, 2589.7834189272057, 2585.9372712618833, 2583.699684446715, 2579.3019566632947, 2576.171978556429, 2572.8643310950465, 2572.8564654102074, 2568.540264437438, 2561.741121539864, 2558.8173483857317, 2555.2896692546283, 2545.972136240361, 2542.767993728266, 2541.8363671212146, 2536.1853615296586, 2531.795091370647, 2530.4261557714203, 2524.6883319297494, 2520.927962350168, 2520.680131793284, 2518.4788184349472, 2517.4642119536184, 2511.5044702486366, 2511.002270376474, 2505.848306954268, 2505.8427769759355, 2499.9509267450862, 2498.4925651977346, 2497.6196050793087, 2497.381090372001, 2495.2959315769267, 2494.5338313777, 2492.6131520219565, 2490.2321554281716, 2490.1474873160537, 2486.6598424314166, 2484.801677646303, 2484.4300606407114, 2483.8523793851073, 2483.273303427797, 2480.1769088298424, 2479.0234647972034, 2478.448704274841, 2476.5181386866634, 2476.256427931283]"
2448.257136606083,103532,15.368427,2583.9270881203884,180,571,1,"[13015.192842642977, 11570.884007556555, 11078.83812810666, 10520.21149670201, 10135.706489765584, 8791.069481964598, 7432.061263678273, 7357.432258356052, 7357.432258356052, 6998.9971682165815, 6683.9123378962995, 6624.4123615140925, 6415.192548763856, 6387.760226646375, 6145.607209296149, 6137.149902769328, 5756.611715275537, 5472.344485806896, 5250.361208256329, 5207.100504537573, 5084.903305770993, 5074.929421064916, 5065.95927390004, 5061.410641193799, 5050.176495353907, 5050.176495353907, 4987.516161374229, 4955.671749344475, 4872.16687503062, 4681.610955215222, 4632.154743423795, 4625.14206711189, 4623.195944631281, 4451.224036770347, 4342.565474364465, 4337.52871490021, 4226.122170365965, 4212.472645852479, 4207.256842725117, 4201.776037975405, 4178.625104955829, 4050.613798906623, 3989.6148986911658, 3957.9147220415707, 3825.495245561331, 3790.758353322645, 3733.756196861894, 3683.1614877070915, 3606.0517837792327, 3597.8373343285666, 3582.901750332885, 3581.2034248331747, 3562.674314300359, 3552.7788610156363, 3539.3865821295467, 3500.0616889665953, 3460.51025237687, 3448.96629410873, 3444.490406280044, 3433.9591436642995, 3430.079242954548, 3427.6519967958375, 3411.533386191616, 3379.926748494991, 3352.8911045254854, 3351.7852136102724, 3308.8383750727985, 3291.04035119533, 3267.6449955287576, 3229.847167639816, 3211.794359555827, 3211.365581632628, 3197.3975464335667, 3194.2630657157406, 3141.434940842414, 3112.8982074647565, 3107.65898904415, 3096.5054744582653, 3092.337565594342, 3087.595639046752, 3045.9929001641794, 3033.388274444007, 3025.116387596968, 3019.811758814515, 3005.370217982174, 2991.762665524653, 2983.166498753384, 2969.6944054120786, 2962.9853365239733, 2944.1157463137515, 2934.9302928913853, 2931.5969293295375, 2929.297647584627, 2919.7819392450665, 2908.7805357690636, 2908.749687389119, 2907.5948224584295, 2906.437097746527, 2900.011086257193, 2884.4971791138764, 2883.305462252102, 2838.5662608458474, 2837.6615173819055, 2833.296425689774, 2830.6479620572723, 2825.7113374318114, 2821.501690568065, 2812.2124736284345, 2803.809462898229, 2802.4214472928584, 2802.4156531553103, 2802.322704986016, 2798.7029141756084, 2795.5038047756193, 2781.340108973874, 2780.250518614059, 2778.4628513202033, 2775.8512316688484, 2769.3649365951514, 2763.3617853474125, 2760.6175420117506, 2756.025090247578, 2754.7941390005876, 2746.230410209655, 2739.095924584186, 2734.459562324998, 2732.5767959545465, 2719.190618882564, 2714.6558611633304, 2711.481602371354, 2704.9254055883175, 2695.9100539183055, 2693.723722645822, 2687.8339021704087, 2679.566542492109, 2679.5285146509855, 2676.7490019210036, 2676.3889370141687, 2666.855316106704, 2666.048529662088, 2657.919608912114, 2657.5789800428784, 2649.3547742346645, 2646.54238275933, 2643.912633437518, 2643.3543046648883, 2638.9054230205584, 2638.466849910583, 2635.434890776113, 2632.9024873744265, 2631.9414774057186, 2624.9732257491805, 2622.669007839766, 2622.445550218269, 2621.203838112641, 2620.565142687008, 2613.897336529746, 2611.3679982388894, 2611.072646591551, 2606.580582313589, 2605.7681462083083, 2604.587618671483, 2602.895575738322, 2602.619324593733, 2601.898564592068, 2601.3962977988913, 2599.650511123781, 2599.4654838610336, 2596.440073923463, 2593.5427966760944, 2592.2923088266098, 2591.532971848507, 2591.508988265323, 2590.512321658038, 2588.4254986814954, 2588.2420212634674, 2587.727310537637, 2586.8134711820585, 2586.4631247627112, 2585.158468634336, 2583.9270881203884]"
2537.653682064899,114972,18.304127,2684.6476620810863,200,571,1,"[14461.32538071442, 12855.641256791525, 12307.8428120251, 11667.124471495428, 11233.524947261658, 9738.649167639334, 8218.11137303592, 8132.218334410886, 8132.218334410886, 7723.975285953516, 7369.853373832442, 7303.705355396357, 7070.977698516881, 7040.445678984995, 6770.776320320221, 6761.352568340247, 6337.084450809723, 6019.963919794038, 5772.18086161508, 5704.03921562961, 5704.03921562961, 5641.788651007167, 5623.4370466162245, 5599.649768648551, 5575.9660666462605, 5518.251756860732, 5518.251756860732, 5493.059747182244, 5391.111732677524, 5204.972988988822, 5192.615748968896, 5183.612662593604, 5107.07454958602, 4922.336096184489, 4808.857696540673, 4794.973040806179, 4664.787825158346, 4657.939614003694, 4650.044510716748, 4638.567889746611, 4623.848781353686, 4468.857226441672, 4400.785725213932, 4370.22392889131, 4259.845255794177, 4193.381302994783, 4106.587004223972, 4050.4477861579935, 3992.050634982793, 3981.246870699192, 3973.9848144141815, 3938.720496723812, 3895.034923044169, 3812.6092446271887, 3803.9024444762267, 3802.504773253936, 3798.5795800721326, 3787.460348058996, 3771.564129952945, 3763.842957692901, 3748.2816928734446, 3747.3346473928277, 3745.1413717037917, 3722.2208267268393, 3670.107246917308, 3668.8520481073037, 3644.37747090911, 3599.6002110468007, 3590.346602958418, 3538.1710675223176, 3511.8968297549263, 3506.3147473945705, 3503.1918135092938, 3481.7323959749137, 3420.7426049596565, 3401.3094077344176, 3369.8429265116947, 3359.5426824217534, 3323.739882737399, 3318.2239175486347, 3308.9104899592417, 3299.021671300693, 3292.4701892884887, 3250.1526921462782, 3245.2458727685525, 3234.301704399502, 3222.622482929065, 3220.816644958152, 3216.6892880116275, 3176.777122618524, 3173.1839871023362, 3168.822244165186, 3154.897193613368, 3153.942456625492, 3149.234057909598, 3141.2465413012933, 3139.992179034757, 3130.5230528687916, 3115.7538498175136, 3114.9969706847296, 3112.7521115787677, 3059.5126276438905, 3059.482379707665, 3057.978688510152, 3039.978907970014, 3038.5710031538447, 3021.6083623000304, 3014.8531546901972, 3012.4323152949214, 3010.5627500364435, 3010.3133993116953, 3008.3942165914204, 3008.100466506835, 3005.775536306358, 2992.510909065515, 2984.969115559551, 2983.701734427049, 2979.959540057028, 2969.729330056677, 2962.22419352166, 2961.6711431300614, 2955.7142032587626, 2951.572497503167, 2935.6008572728006, 2930.868307085533, 2927.7134092753454, 2923.801517345664, 2909.813225645427, 2903.9345794978, 2895.9397465669563, 2890.6105221426196, 2873.1355498266234, 2869.787140878547, 2867.333008398232, 2851.8780117871947, 2851.3395607652355, 2850.7013973528838, 2847.322933309568, 2838.3043507496386, 2833.828062955575, 2823.9806090129814, 2822.747416852477, 2813.6748975115706, 2808.6531860505843, 2803.1832119986684, 2800.300842462598, 2795.3556675961117, 2791.2257961257665, 2789.9194953075753, 2789.8567064986846, 2786.0318555248873, 2774.564244770141, 2774.2339715889525, 2772.2632491170325, 2771.465710468736, 2771.405467629213, 2759.497657728385, 2754.806794820619, 2752.058689960183, 2747.759689396872, 2746.913990548319, 2745.9322385837904, 2742.6439297130737, 2742.185530725603, 2740.9797413920032, 2739.732103257549, 2737.8544638983794, 2734.2831192916096, 2733.560825709179, 2728.5104910076725, 2723.4755355838115, 2723.0023974444985, 2721.2928941851105, 2719.8747923764013, 2719.083949068432, 2717.307478552519, 2717.2397481896974, 2715.319905250894, 2714.154732247086, 2713.224488310655, 2710.63404576461, 2709.591910723404, 2706.513797869901, 2705.564535231234, 2701.8407704105603, 2701.417939345767, 2699.063973816319, 2697.9484246535703, 2696.7035036927273, 2696.185082777298, 2694.908143379951, 2693.415993100853, 2693.271108011991, 2689.53777655655, 2689.2935290649916, 2689.1842928640663, 2687.800926105231, 2686.3258878562583, 2685.7467310594448, 2685.0024171252526, 2684.6476620810863]"
