dual,DUAL,greedy,pd,queriesG,queriesPD,queriesD,timeG,timePD,timeD,k,n,trial
857.3679222112874,871.3389376886698,810.8318753875665,810.5038414269891,11230,12012,14286,0.594049,0.72579,1.4435220000000002,20,571,1
1354.2521549648045,1339.374991238939,1236.248078804333,1235.645783888968,22060,23452,28156,1.445666,1.829205,2.5910659999999996,40,571,1
1640.8035452477127,1655.1573891486698,1526.5674926853471,1525.9265428880963,32490,34892,41644,2.742052,3.000975,4.207712,60,571,1
1863.9807789869901,1891.858803915778,1756.922150806392,1755.1782674866345,42520,46332,54768,3.773344,4.263582,5.4786719999999995,80,571,1
2087.519769747451,2085.7012743624705,1940.9844284235444,1940.2321854138736,52150,57772,67490,5.030769,5.962461,7.128241,100,571,1
2241.8738174330083,2247.3835274391167,2099.2608455576396,2098.595899750396,61380,69212,79798,6.359245,7.62881,8.911566,120,571,1
2373.091001370377,2383.2114803542427,2235.9559108871495,2235.5652633185964,70210,80652,91750,7.946393,9.649774,10.827402,140,571,1
2476.5181386866634,2496.750694177673,2349.5330236376585,2349.108070814298,78640,92092,103280,9.408143,11.759008,12.754877,160,571,1
2585.158468634336,2592.370822912003,2448.910104723942,2448.257136606083,86670,103532,114420,10.982038,14.23758,14.756616,180,571,1
2685.0024171252526,2676.0546871754486,2537.921364142483,2537.653682064899,94300,114972,125170,12.804102,16.674618,17.173399,200,571,1
